Código;Departamento;Población total;Maya;Garífuna;Xinka;Afrodescendiente / Creole / Afromestizo;Ladina(o);Extranjera(o);;;
;Total nacional;14901286;6207503;19529;264167;27647;8346120;36320;;;
1;Guatemala;  3 015 081;   402 376;   4 583;   3 382;   6 222;  2 578 135;   20 383;;;
2;El Progreso;   176 632;   2 627;    184;    46;    86;   173 441;    248;;;
3;Sacatepéquez;   330 469;   132 762;    428;    206;    486;   195 101;   1 486;;;
4;Chimaltenango;   615 776;   481 335;    563;    237;   1 255;   131 674;    712;;;
5;Escuintla;   733 181;   37 100;    933;    259;   1 466;   691 936;   1 487;;;
6;Santa Rosa;   396 607;   7 863;    646;   55 855;    885;   330 149;   1 209;;;
7;Sololá;   421 583;   406 295;    387;    35;    366;   14 025;    475;;;
8;Totonicapán;   418 569;   410 195;    274;    49;    381;   7 528;    142;;;
9;Quetzaltenango;   799 101;   406 491;    675;    206;   1 197;   388 850;   1 682;;;
10;Suchitepéquez;   554 695;   211 103;    639;    210;   3 531;   338 471;    741;;;
11;Retalhuleu;   326 828;   48 871;    258;    58;    684;   276 576;    381;;;
12;San Marcos;  1 032 277;   318 093;    757;    76;    495;   711 812;   1 044;;;
13;Huehuetenango;  1 170 669;   760 871;    884;    44;   1 305;   406 836;    729;;;
14;Quiché;   949 261;   846 500;    556;    59;   1 690;   100 150;    306;;;
15;Baja Verapaz;   299 476;   179 746;    244;    63;    542;   118 660;    221;;;
16;Alta Verapaz;  1 215 038;  1 129 369;   1 136;    147;   1 288;   82 505;    593;;;
17;Petén;   545 600;   164 814;    462;    200;   1 097;   378 129;    898;;;
18;Izabal;   408 688;   115 296;   3 002;    105;   1 529;   287 869;    887;;;
19;Zacapa;   245 374;   4 769;    349;    46;    791;   238 987;    432;;;
20;Chiquimula;   415 063;   111 368;    797;    49;    771;   301 454;    624;;;
21;Jalapa;   342 923;   24 891;    832;   108 529;    690;   207 497;    484;;;
22;Jutiapa;   488 395;   4 768;    940;   94 306;    890;   386 335;   1 156;;;
;;;;;;;;;;;
